id,station_id,stop_id,station_name,stop_desc,run_number,route_id,destination_id,destination_name,route_direction_code,prediction_generated,expected_arrival,is_approaching,is_scheduled,is_fit,is_delayed
286,30046,30046,79th,Service toward Howard,903,Red,30046,Howard,1,2012-10-10 11:07:45-05,2012-10-10 11:15:45-05,0,1,1,1
287,30276,30276,87th,Service toward 95th,814,Red,30276,95th/Dan Ryan,5,2012-10-10 11:07:41-05,2012-10-10 11:09:41-05,0,0,0,0
288,30276,30276,87th,Service toward 95th,844,Red,30276,95th/Dan Ryan,5,2012-10-10 11:07:42-05,2012-10-10 11:18:42-05,0,0,0,0
289,30275,30275,87th,Service toward Howard,903,Red,30275,Howard,1,2012-10-10 11:07:45-05,2012-10-10 11:12:45-05,0,1,0,0
290,30088,30088,95th/Dan Ryan,Service toward Howard,903,Red,30088,Howard,1,2012-10-10 11:07:45-05,2012-10-10 11:10:45-05,0,1,0,0
291,30274,30274,Addison,Service toward 95th,801,Red,30274,95th/Dan Ryan,5,2012-10-10 11:02:24-05,2012-10-10 11:09:24-05,0,0,0,1
292,30274,30274,Addison,Service toward 95th,822,Red,30274,95th/Dan Ryan,5,2012-10-10 11:07:15-05,2012-10-10 11:17:15-05,0,0,0,0
293,30274,30274,Addison,Service toward 95th,906,Red,30274,95th/Dan Ryan,5,2012-10-10 11:07:05-05,2012-10-10 11:21:05-05,0,0,0,0
294,30274,30274,Addison,Service toward 95th,843,Red,30274,95th/Dan Ryan,5,2012-10-10 11:07:41-05,2012-10-10 11:26:41-05,0,0,0,0
295,30273,30273,Addison,Service toward Howard,804,Red,30273,Howard,1,2012-10-10 11:07:30-05,2012-10-10 11:17:30-05,0,0,0,0
296,30273,30273,Addison,Service toward Howard,902,Red,30273,Howard,1,2012-10-10 11:07:30-05,2012-10-10 11:21:30-05,0,0,0,0
297,30238,30238,47th,Service toward 95th,820,Red,30238,95th/Dan Ryan,5,2012-10-10 11:09:05-05,2012-10-10 11:18:05-05,0,0,0,0
298,30238,30238,47th,Service toward 95th,904,Red,30238,95th/Dan Ryan,5,2012-10-10 11:09:19-05,2012-10-10 11:22:19-05,0,0,0,0
299,30238,30238,47th,Service toward 95th,905,Red,30238,95th/Dan Ryan,5,2012-10-10 11:09:24-05,2012-10-10 11:24:24-05,0,0,0,0
300,30237,30237,47th,Service toward Howard,805,Red,30237,Howard,1,2012-10-10 11:09:24-05,2012-10-10 11:10:24-05,1,0,0,0
301,30237,30237,47th,Service toward Howard,819,Red,30237,Howard,1,2012-10-10 11:09:13-05,2012-10-10 11:16:13-05,0,0,0,0
302,30237,30237,47th,Service toward Howard,818,Red,30237,Howard,1,2012-10-10 11:09:03-05,2012-10-10 11:24:03-05,0,0,0,0
303,30178,30178,63rd,Service toward 95th,820,Red,30178,95th/Dan Ryan,5,2012-10-10 11:09:05-05,2012-10-10 11:24:05-05,0,0,0,0
304,30178,30178,63rd,Service toward 95th,904,Red,30178,95th/Dan Ryan,5,2012-10-10 11:09:19-05,2012-10-10 11:28:19-05,0,0,0,0
305,30177,30177,63rd,Service toward Howard,819,Red,30177,Howard,1,2012-10-10 11:09:13-05,2012-10-10 11:10:13-05,1,0,0,0
306,30177,30177,63rd,Service toward Howard,818,Red,30177,Howard,1,2012-10-10 11:09:03-05,2012-10-10 11:18:03-05,0,0,0,0
307,30192,30192,69th,Service toward 95th,844,Red,30192,95th/Dan Ryan,5,2012-10-10 11:09:23-05,2012-10-10 11:12:23-05,0,0,0,0
308,30192,30192,69th,Service toward 95th,820,Red,30192,95th/Dan Ryan,5,2012-10-10 11:09:05-05,2012-10-10 11:28:05-05,0,0,0,0
309,30191,30191,69th,Service toward Howard,818,Red,30191,Howard,1,2012-10-10 11:09:03-05,2012-10-10 11:15:03-05,0,0,0,0
310,30047,30047,79th,Service toward 95th,844,Red,30047,95th/Dan Ryan,5,2012-10-10 11:09:23-05,2012-10-10 11:15:23-05,0,0,0,0
311,30046,30046,79th,Service toward Howard,818,Red,30046,Howard,1,2012-10-10 11:09:03-05,2012-10-10 11:12:03-05,0,0,0,0
312,30276,30276,87th,Service toward 95th,814,Red,30276,95th/Dan Ryan,5,2012-10-10 11:09:12-05,2012-10-10 11:10:12-05,1,0,0,0
313,30276,30276,87th,Service toward 95th,844,Red,30276,95th/Dan Ryan,5,2012-10-10 11:09:23-05,2012-10-10 11:19:23-05,0,0,0,0
314,30275,30275,87th,Service toward Howard,818,Red,30275,Howard,1,2012-10-10 11:09:03-05,2012-10-10 11:10:03-05,1,0,0,0
315,30088,30088,95th/Dan Ryan,Service toward Howard,814,Red,30088,Howard,1,2012-10-10 11:09:25-05,2012-10-10 11:17:25-05,0,1,0,0
316,30274,30274,Addison,Service toward 95th,801,Red,30274,95th/Dan Ryan,5,2012-10-10 11:09:04-05,2012-10-10 11:12:04-05,0,0,0,0
317,30274,30274,Addison,Service toward 95th,822,Red,30274,95th/Dan Ryan,5,2012-10-10 11:08:57-05,2012-10-10 11:16:57-05,0,0,0,0
318,30274,30274,Addison,Service toward 95th,906,Red,30274,95th/Dan Ryan,5,2012-10-10 11:08:47-05,2012-10-10 11:21:47-05,0,0,0,0
319,30274,30274,Addison,Service toward 95th,843,Red,30274,95th/Dan Ryan,5,2012-10-10 11:08:38-05,2012-10-10 11:27:38-05,0,0,0,0
320,30273,30273,Addison,Service toward Howard,804,Red,30273,Howard,1,2012-10-10 11:09:24-05,2012-10-10 11:18:24-05,0,0,0,0
321,30273,30273,Addison,Service toward Howard,902,Red,30273,Howard,1,2012-10-10 11:09:10-05,2012-10-10 11:21:10-05,0,0,0,0
322,30238,30238,47th,Service toward 95th,827,Red,30238,95th/Dan Ryan,5,2012-10-10 13:35:42-05,2012-10-10 13:41:42-05,0,0,0,0
323,30238,30238,47th,Service toward 95th,903,Red,30238,95th/Dan Ryan,5,2012-10-10 13:35:58-05,2012-10-10 13:51:58-05,0,0,0,0
324,30238,30238,47th,Service toward 95th,814,Red,30238,95th/Dan Ryan,5,2012-10-10 13:35:58-05,2012-10-10 13:54:58-05,0,0,0,0
325,30237,30237,47th,Service toward Howard,922,Red,30237,Howard,1,2012-10-10 13:36:19-05,2012-10-10 13:41:19-05,0,0,0,0
326,30178,30178,63rd,Service toward 95th,805,Red,30178,95th/Dan Ryan,5,2012-10-10 13:36:07-05,2012-10-10 13:38:07-05,0,0,0,0
327,30178,30178,63rd,Service toward 95th,827,Red,30178,95th/Dan Ryan,5,2012-10-10 13:35:42-05,2012-10-10 13:46:42-05,0,0,0,0
328,30177,30177,63rd,Service toward Howard,922,Red,30177,Howard,1,2012-10-10 13:36:19-05,2012-10-10 13:37:19-05,1,0,0,0
329,30192,30192,69th,Service toward 95th,805,Red,30192,95th/Dan Ryan,5,2012-10-10 13:36:07-05,2012-10-10 13:43:07-05,0,0,0,0
330,30192,30192,69th,Service toward 95th,827,Red,30192,95th/Dan Ryan,5,2012-10-10 13:35:42-05,2012-10-10 13:51:42-05,0,0,0,0
331,30191,30191,69th,Service toward Howard,804,Red,30191,Howard,1,2012-10-10 13:36:24-05,2012-10-10 13:40:24-05,0,1,0,0
332,30047,30047,79th,Service toward 95th,805,Red,30047,95th/Dan Ryan,5,2012-10-10 13:36:07-05,2012-10-10 13:46:07-05,0,0,0,0
333,30047,30047,79th,Service toward 95th,827,Red,30047,95th/Dan Ryan,5,2012-10-10 13:35:42-05,2012-10-10 13:54:42-05,0,0,0,0
334,30046,30046,79th,Service toward Howard,804,Red,30046,Howard,1,2012-10-10 13:36:24-05,2012-10-10 13:37:24-05,1,1,1,1
335,30276,30276,87th,Service toward 95th,942,Red,30276,95th/Dan Ryan,5,2012-10-10 13:36:02-05,2012-10-10 13:37:02-05,1,0,0,0
336,30276,30276,87th,Service toward 95th,826,Red,30276,95th/Dan Ryan,5,2012-10-10 13:35:53-05,2012-10-10 13:38:53-05,0,0,0,0
337,30276,30276,87th,Service toward 95th,805,Red,30276,95th/Dan Ryan,5,2012-10-10 13:36:07-05,2012-10-10 13:49:07-05,0,0,0,0
338,30275,30275,87th,Service toward Howard,813,Red,30275,Howard,1,2012-10-10 13:36:25-05,2012-10-10 13:42:25-05,0,1,0,0
339,30088,30088,95th/Dan Ryan,Service toward Howard,813,Red,30088,Howard,1,2012-10-10 13:36:24-05,2012-10-10 13:40:24-05,0,1,0,0
340,30274,30274,Addison,Service toward 95th,904,Red,30274,95th/Dan Ryan,5,2012-10-10 13:35:36-05,2012-10-10 13:43:36-05,0,0,0,0
341,30274,30274,Addison,Service toward 95th,905,Red,30274,95th/Dan Ryan,5,2012-10-10 13:36:21-05,2012-10-10 13:51:21-05,0,0,0,0
342,30273,30273,Addison,Service toward Howard,802,Red,30273,Howard,1,2012-10-10 13:36:14-05,2012-10-10 13:38:14-05,0,0,0,0
343,30273,30273,Addison,Service toward Howard,919,Red,30273,Howard,1,2012-10-10 13:36:21-05,2012-10-10 13:42:21-05,0,0,0,0
344,30273,30273,Addison,Service toward Howard,843,Red,30273,Howard,1,2012-10-10 13:36:13-05,2012-10-10 13:43:13-05,0,0,0,0
345,30273,30273,Addison,Service toward Howard,824,Red,30273,Howard,1,2012-10-10 13:35:56-05,2012-10-10 13:47:56-05,0,0,0,0
346,30273,30273,Addison,Service toward Howard,842,Red,30273,Howard,1,2012-10-10 13:36:18-05,2012-10-10 13:53:18-05,0,0,0,0
347,30238,30238,47th,Service toward 95th,830,Red,30238,95th/Dan Ryan,5,2012-10-23 20:07:03-05,2012-10-23 20:19:03-05,0,0,0,0
348,30238,30238,47th,Service toward 95th,943,Red,30238,95th/Dan Ryan,5,2012-10-23 20:08:18-05,2012-10-23 20:23:18-05,0,0,0,0
349,30237,30237,47th,Service toward Howard,932,Red,30237,Howard,1,2012-10-23 20:10:55-05,2012-10-23 20:14:55-05,0,0,0,0
350,30237,30237,47th,Service toward Howard,922,Red,30237,Howard,1,2012-10-23 20:10:39-05,2012-10-23 20:22:39-05,0,0,0,0
351,30178,30178,63rd,Service toward 95th,924,Red,30178,95th/Dan Ryan,5,2012-10-23 20:10:49-05,2012-10-23 20:14:49-05,0,0,0,0
352,30178,30178,63rd,Service toward 95th,830,Red,30178,95th/Dan Ryan,5,2012-10-23 20:07:03-05,2012-10-23 20:24:03-05,0,0,0,0
353,30177,30177,63rd,Service toward Howard,922,Red,30177,Howard,1,2012-10-23 20:10:39-05,2012-10-23 20:17:39-05,0,0,0,0
354,30192,30192,69th,Service toward 95th,924,Red,30192,95th/Dan Ryan,5,2012-10-23 20:10:49-05,2012-10-23 20:18:49-05,0,0,0,0
355,30191,30191,69th,Service toward Howard,922,Red,30191,Howard,1,2012-10-23 20:10:39-05,2012-10-23 20:13:39-05,0,0,0,0
356,30047,30047,79th,Service toward 95th,923,Red,30047,95th/Dan Ryan,5,2012-10-23 20:10:55-05,2012-10-23 20:11:55-05,1,0,0,0
357,30047,30047,79th,Service toward 95th,924,Red,30047,95th/Dan Ryan,5,2012-10-23 20:10:49-05,2012-10-23 20:20:49-05,0,0,0,0
358,30046,30046,79th,Service toward Howard,922,Red,30046,Howard,1,2012-10-23 20:10:39-05,2012-10-23 20:11:39-05,1,0,0,0
359,30276,30276,87th,Service toward 95th,827,Red,30276,95th/Dan Ryan,5,2012-10-23 20:10:24-05,2012-10-23 20:12:24-05,0,0,0,0
360,30276,30276,87th,Service toward 95th,923,Red,30276,95th/Dan Ryan,5,2012-10-23 20:10:55-05,2012-10-23 20:14:55-05,0,0,0,0
361,30276,30276,87th,Service toward 95th,924,Red,30276,95th/Dan Ryan,5,2012-10-23 20:10:49-05,2012-10-23 20:24:49-05,0,0,0,0
362,30275,30275,87th,Service toward Howard,922,Red,30275,Howard,1,2012-10-23 20:11:01-05,2012-10-23 20:16:01-05,0,1,0,0
363,30088,30088,95th/Dan Ryan,Service toward Howard,922,Red,30088,Howard,1,2012-10-23 20:11:00-05,2012-10-23 20:12:00-05,1,1,0,0
364,30274,30274,Addison,Service toward 95th,926,Red,30274,95th/Dan Ryan,5,2012-10-23 20:10:11-05,2012-10-23 20:12:11-05,0,0,0,0
365,30274,30274,Addison,Service toward 95th,832,Red,30274,95th/Dan Ryan,5,2012-10-23 20:10:42-05,2012-10-23 20:22:42-05,0,0,0,0
366,30273,30273,Addison,Service toward Howard,928,Red,30273,Howard,1,2012-10-23 20:10:16-05,2012-10-23 20:12:16-05,0,0,0,0
367,30273,30273,Addison,Service toward Howard,919,Red,30273,Howard,1,2012-10-23 20:10:47-05,2012-10-23 20:17:47-05,0,0,0,0
368,30273,30273,Addison,Service toward Howard,944,Red,30273,Howard,1,2012-10-23 20:10:42-05,2012-10-23 20:20:42-05,0,0,0,0
369,30273,30273,Addison,Service toward Howard,920,Red,30273,Howard,1,2012-10-23 20:10:28-05,2012-10-23 20:28:28-05,0,0,0,0
370,30238,30238,47th,Service toward 95th,943,Red,30238,95th/Dan Ryan,5,2012-10-23 20:28:41-05,2012-10-23 20:31:41-05,0,0,0,0
371,30238,30238,47th,Service toward 95th,828,Red,30238,95th/Dan Ryan,5,2012-10-23 20:28:19-05,2012-10-23 20:35:19-05,0,0,0,0
372,30238,30238,47th,Service toward 95th,925,Red,30238,95th/Dan Ryan,5,2012-10-23 20:28:34-05,2012-10-23 20:37:34-05,0,0,0,0
373,30238,30238,47th,Service toward 95th,926,Red,30238,95th/Dan Ryan,5,2012-10-23 20:28:24-05,2012-10-23 20:45:24-05,0,0,0,0
374,30237,30237,47th,Service toward Howard,826,Red,30237,Howard,1,2012-10-23 20:28:40-05,2012-10-23 20:29:40-05,1,0,0,0
375,30237,30237,47th,Service toward Howard,934,Red,30237,Howard,1,2012-10-23 20:28:03-05,2012-10-23 20:37:03-05,0,0,0,0
376,30178,30178,63rd,Service toward 95th,830,Red,30178,95th/Dan Ryan,5,2012-10-23 20:28:48-05,2012-10-23 20:32:48-05,0,0,0,0
377,30178,30178,63rd,Service toward 95th,943,Red,30178,95th/Dan Ryan,5,2012-10-23 20:28:41-05,2012-10-23 20:36:41-05,0,0,0,0
378,30178,30178,63rd,Service toward 95th,828,Red,30178,95th/Dan Ryan,5,2012-10-23 20:28:19-05,2012-10-23 20:40:19-05,0,0,0,0
379,30178,30178,63rd,Service toward 95th,925,Red,30178,95th/Dan Ryan,5,2012-10-23 20:28:49-05,2012-10-23 20:42:49-05,0,0,0,0
